correct_uris,Value,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
Q115,Ethiopia,Q3624078,Q115,http://dbpedia.org/resource/Ethiopia,1
Q702,Federated States of Micronesia,Q3624078,Q702,http://dbpedia.org/resource/Federated_States_of_Micronesia,1
Q712,Fiji,Q3624078,Q712,http://dbpedia.org/resource/Fiji,1
Q33,Finland,Q3624078,Q33,http://dbpedia.org/resource/Finland,1
Q142,France,Q3624078,Q142,http://dbpedia.org/resource/France,1
Q1000,Gabon,Q3624078,Q1000,http://dbpedia.org/resource/Gabon,1
Q1005,Gambia,Q3624078,Q1005,http://dbpedia.org/resource/The_Gambia,1
Q230,Georgia,Q3624078,Q230,http://dbpedia.org/resource/Georgia_(country),1
Q183,Germany,Q3624078,Q183,http://dbpedia.org/resource/Germany,1
Q117,Ghana,Q3624078,Q117,http://dbpedia.org/resource/Ghana,1
Q41,Greece,Q3624078,Q41,http://dbpedia.org/resource/Greece,1
Q769,Grenada,Q3624078,Q769,http://dbpedia.org/resource/Grenada,1
Q774,Guatemala,Q3624078,Q774,http://dbpedia.org/resource/Guatemala,1
Q1006,Guinea,Q3624078,Q1006,http://dbpedia.org/resource/Guinea,1
Q1007,Guinea-Bissau,Q3624078,Q1007,http://dbpedia.org/resource/Guinea-Bissau,1
Q734,Guyana,Q3624078,Q734,http://dbpedia.org/resource/Guyana,1
Q790,Haiti,Q3624078,Q790,http://dbpedia.org/resource/Haiti,1
Q783,Honduras,Q3624078,Q783,http://dbpedia.org/resource/Honduras,1
Q28,Hungary,Q3624078,Q28,http://dbpedia.org/resource/Hungary,1
Q189,Iceland,Q3624078,Q189,http://dbpedia.org/resource/Iceland,1
Q668,India,Q3624078,Q668,http://dbpedia.org/resource/India,1
Q252,Indonesia,Q3624078,Q252,http://dbpedia.org/resource/Indonesia,1
Q794,Iran,Q3624078,Q794,http://dbpedia.org/resource/Iran,1
Q796,Iraq,Q3624078,Q796,http://dbpedia.org/resource/Iraq,1
Q27,Ireland,Q3624078,Q27,http://dbpedia.org/resource/Republic_of_Ireland,1
Q801,Israel,Q3624078,Q801,http://dbpedia.org/resource/Israel,1
Q38,Italy,Q3624078,Q38,http://dbpedia.org/resource/Italy,1
Q1008,Ivory Coast,Q3624078,Q1008,http://dbpedia.org/resource/Ivory_Coast,1
Q766,Jamaica,Q3624078,Q766,http://dbpedia.org/resource/Jamaica,1
Q17,Japan,Q3624078,Q17,http://dbpedia.org/resource/Japan,1
Q810,Jordan,Q3624078,Q810,http://dbpedia.org/resource/Jordan,1
Q232,Kazakhstan,Q3624078,Q232,http://dbpedia.org/resource/Kazakhstan,1
Q114,Kenya,Q3624078,Q114,http://dbpedia.org/resource/Kenya,1
Q756617 Q35,Kingdom of Denmark,Q3624078,Q35,http://dbpedia.org/resource/Denmark,1
Q29999,Kingdom of the Netherlands,Q3624078,Q29999,http://dbpedia.org/resource/Kingdom_of_the_Netherlands,1
Q710,Kiribati,Q3624078,Q710,http://dbpedia.org/resource/Kiribati,1
Q817,Kuwait,Q3624078,Q817,http://dbpedia.org/resource/Kuwait,1
Q813,Kyrgyzstan,Q3624078,Q813,http://dbpedia.org/resource/Kyrgyzstan,1
Q819,Laos,Q3624078,Q819,http://dbpedia.org/resource/Laos,1
Q211,Latvia,Q3624078,Q211,http://dbpedia.org/resource/Latvia,1
Q822,Lebanon,Q3624078,Q822,http://dbpedia.org/resource/Lebanon,1
Q1013,Lesotho,Q3624078,Q1013,http://dbpedia.org/resource/Lesotho,1
Q1014,Liberia,Q3624078,Q1014,http://dbpedia.org/resource/Liberia,1
Q1016,Libya,Q3624078,Q1016,http://dbpedia.org/resource/Libya,1
Q347,Liechtenstein,Q3624078,Q347,http://dbpedia.org/resource/Liechtenstein,1
Q37,Lithuania,Q3624078,Q37,http://dbpedia.org/resource/Lithuania,1
Q32,Luxembourg,Q3624078,Q32,http://dbpedia.org/resource/Luxembourg,1
Q1019,Madagascar,Q3624078,Q1019,http://dbpedia.org/resource/Madagascar,1
Q1020,Malawi,Q3624078,Q1020,http://dbpedia.org/resource/Malawi,1
Q833,Malaysia,Q3624078,Q833,http://dbpedia.org/resource/Malaysia,1
Q826,Maldives,Q3624078,Q826,http://dbpedia.org/resource/Maldives,1
Q912,Mali,Q3624078,Q912,http://dbpedia.org/resource/Mali,1
Q233,Malta,Q3624078,Q233,http://dbpedia.org/resource/Malta,1
Q709,Marshall Islands,Q3624078,Q709,http://dbpedia.org/resource/Marshall_Islands,1
Q1025,Mauritania,Q3624078,Q1025,http://dbpedia.org/resource/Mauritania,1
Q1027,Mauritius,Q3624078,Q1027,http://dbpedia.org/resource/Mauritius,1
Q96,Mexico,Q3624078,Q96,http://dbpedia.org/resource/Mexico,1
Q217,Moldova,Q3624078,Q217,http://dbpedia.org/resource/Moldova,1
Q235,Monaco,Q3624078,Q235,http://dbpedia.org/resource/Monaco,1
Q711,Mongolia,Q3624078,Q711,http://dbpedia.org/resource/Mongolia,1
Q236,Montenegro,Q3624078,Q236,http://dbpedia.org/resource/Montenegro,1
Q1028,Morocco,Q3624078,Q1028,http://dbpedia.org/resource/Morocco,1
Q1029,Mozambique,Q3624078,Q1029,http://dbpedia.org/resource/Mozambique,1
Q836,Myanmar,Q3624078,Q836,http://dbpedia.org/resource/Myanmar,1
Q1030,Namibia,Q3624078,Q1030,http://dbpedia.org/resource/Namibia,1
Q697,Nauru,Q3624078,Q697,http://dbpedia.org/resource/Nauru,1
Q837,Nepal,Q3624078,Q837,http://dbpedia.org/resource/Nepal,1
Q664,New Zealand,Q3624078,Q664,http://dbpedia.org/resource/New_Zealand,1
Q811,Nicaragua,Q3624078,Q811,http://dbpedia.org/resource/Nicaragua,1
Q1032,Niger,Q3624078,Q1032,http://dbpedia.org/resource/Niger,1
Q1033,Nigeria,Q3624078,Q1033,http://dbpedia.org/resource/Nigeria,1
Q423,North Korea,Q3624078,Q423,http://dbpedia.org/resource/North_Korea,1
Q221,North Macedonia,Q3624078,Q221,http://dbpedia.org/resource/North_Macedonia,1
Q20,Norway,Q3624078,Q20,http://dbpedia.org/resource/Norway,1
Q842,Oman,Q3624078,Q842,http://dbpedia.org/resource/Oman,1
Q843,Pakistan,Q3624078,Q843,http://dbpedia.org/resource/Pakistan,1
Q695,Palau,Q3624078,Q695,http://dbpedia.org/resource/Palau,1
Q804,Panama,Q3624078,Q804,http://dbpedia.org/resource/Panama,1
Q691,Papua New Guinea,Q3624078,Q691,http://dbpedia.org/resource/Papua_New_Guinea,1
Q733,Paraguay,Q3624078,Q733,http://dbpedia.org/resource/Paraguay,1
Q148,People's Republic of China,Q3624078,Q148,http://dbpedia.org/resource/China,1
Q419,Peru,Q3624078,Q419,http://dbpedia.org/resource/Peru,1
Q928,Philippines,Q3624078,Q928,http://dbpedia.org/resource/Philippines,1
Q36,Poland,Q3624078,Q36,http://dbpedia.org/resource/Poland,1
Q45,Portugal,Q3624078,Q45,http://dbpedia.org/resource/Portugal,1
Q846,Qatar,Q3624078,Q846,http://dbpedia.org/resource/Qatar,1
Q229,Republic of Cyprus,Q3624078,Q229,http://dbpedia.org/resource/Cyprus,1
Q971,Republic of the Congo,Q3624078,Q971,http://dbpedia.org/resource/Republic_of_the_Congo,1
Q218,Romania,Q3624078,Q218,http://dbpedia.org/resource/Romania,1
Q159,Russia,Q3624078,Q159,http://dbpedia.org/resource/Russia,1
Q1037,Rwanda,Q3624078,Q1037,http://dbpedia.org/resource/Rwanda,1
Q763,Saint Kitts and Nevis,Q3624078,Q763,http://dbpedia.org/resource/Saint_Kitts_and_Nevis,1
Q760,Saint Lucia,Q3624078,Q760,http://dbpedia.org/resource/Saint_Lucia,1
Q757,Saint Vincent and the Grenadines,Q3624078,Q757,http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines,1
Q683,Samoa,Q3624078,Q683,http://dbpedia.org/resource/Samoa,1
Q238,San Marino,Q3624078,Q238,http://dbpedia.org/resource/San_Marino,1
Q851,Saudi Arabia,Q3624078,Q851,http://dbpedia.org/resource/Saudi_Arabia,1
Q1041,Senegal,Q3624078,Q1041,http://dbpedia.org/resource/Senegal,1
Q403,Serbia,Q3624078,Q403,http://dbpedia.org/resource/Serbia,1
Q1042,Seychelles,Q3624078,Q1042,http://dbpedia.org/resource/Seychelles,1
Q1044,Sierra Leone,Q3624078,Q1044,http://dbpedia.org/resource/Sierra_Leone,1
Q334,Singapore,Q3624078,Q334,http://dbpedia.org/resource/Singapore,1
Q214,Slovakia,Q3624078,Q214,http://dbpedia.org/resource/Slovakia,1
Q215,Slovenia,Q3624078,Q215,http://dbpedia.org/resource/Slovenia,1
Q685,Solomon Islands,Q3624078,Q685,http://dbpedia.org/resource/Solomon_Islands,1
Q1045,Somalia,Q3624078,Q1045,http://dbpedia.org/resource/Somalia,1
Q258,South Africa,Q3624078,Q258,http://dbpedia.org/resource/South_Africa,1
Q258,South Africa,Q3624078,Q258,http://dbpedia.org/resource/South_Africa,1
Q258,South Africa,Q3624078,Q258,http://dbpedia.org/resource/South_Africa,1
Q884,South Korea,Q3624078,Q884,http://dbpedia.org/resource/South_Korea,1
Q958,South Sudan,Q3624078,Q958,http://dbpedia.org/resource/South_Sudan,1
Q29,Spain,Q3624078,Q29,http://dbpedia.org/resource/Spain,1
Q854,Sri Lanka,Q3624078,Q854,http://dbpedia.org/resource/Sri_Lanka,1
Q854,Sri Lanka,Q3624078,Q854,http://dbpedia.org/resource/Sri_Lanka,1
Q1049,Sudan,Q3624078,Q1049,http://dbpedia.org/resource/Sudan,1
Q730,Suriname,Q3624078,Q730,http://dbpedia.org/resource/Suriname,1
Q34,Sweden,Q3624078,Q34,http://dbpedia.org/resource/Sweden,1
Q39,Switzerland,Q3624078,Q39,http://dbpedia.org/resource/Switzerland,1
Q858,Syria,Q3624078,Q858,http://dbpedia.org/resource/Syria,1
Q1039,São Tomé and Príncipe,Q3624078,Q1039,http://dbpedia.org/resource/São_Tomé_and_Príncipe,1
Q863,Tajikistan,Q3624078,Q863,http://dbpedia.org/resource/Tajikistan,1
Q924,Tanzania,Q3624078,Q924,http://dbpedia.org/resource/Tanzania,1
Q869,Thailand,Q3624078,Q869,http://dbpedia.org/resource/Thailand,1
Q945,Togo,Q3624078,Q945,http://dbpedia.org/resource/Togo,1
Q678,Tonga,Q3624078,Q678,http://dbpedia.org/resource/Tonga,1
Q754,Trinidad and Tobago,Q3624078,Q754,http://dbpedia.org/resource/Trinidad_and_Tobago,1
Q948,Tunisia,Q3624078,Q948,http://dbpedia.org/resource/Tunisia,1
Q43,Turkey,Q3624078,Q43,http://dbpedia.org/resource/Turkey,1
Q874,Turkmenistan,Q3624078,Q874,http://dbpedia.org/resource/Turkmenistan,1
Q672,Tuvalu,Q3624078,Q672,http://dbpedia.org/resource/Tuvalu,1
Q1036,Uganda,Q3624078,Q1036,http://dbpedia.org/resource/Uganda,1
Q212,Ukraine,Q3624078,Q212,http://dbpedia.org/resource/Ukraine,1
Q878,United Arab Emirates,Q3624078,Q878,http://dbpedia.org/resource/United_Arab_Emirates,1
Q145,United Kingdom,Q3624078,Q145,http://dbpedia.org/resource/United_Kingdom,1
Q30,United States of America,Q3624078,Q30,http://dbpedia.org/resource/United_States,1
Q77,Uruguay,Q3624078,Q77,http://dbpedia.org/resource/Uruguay,1
Q265,Uzbekistan,Q3624078,Q265,http://dbpedia.org/resource/Uzbekistan,1
Q686,Vanuatu,Q3624078,Q686,http://dbpedia.org/resource/Vanuatu,1
Q237,Vatican City,Q3624078,Q237,http://dbpedia.org/resource/Vatican_City,1
Q717,Venezuela,Q3624078,Q717,http://dbpedia.org/resource/Venezuela,1
Q881,Vietnam,Q3624078,Q881,http://dbpedia.org/resource/Vietnam,1
Q805,Yemen,Q3624078,Q805,http://dbpedia.org/resource/Yemen,1
Q805,Yemen,Q3624078,Q805,http://dbpedia.org/resource/Yemen,1
Q953,Zambia,Q3624078,Q953,http://dbpedia.org/resource/Zambia,1
Q954,Zimbabwe,Q3624078,Q954,http://dbpedia.org/resource/Zimbabwe,1
