correct_uris,Value,Value_cta_class,Value_answer_Qnode,Value_answer_dburi,evaluation
Q3861,Doha,Q3257686,Q3861,http://dbpedia.org/resource/Doha,1
Q3856,Nicosia,Q3257686,Q3856,http://dbpedia.org/resource/Nicosia,1
Q3844,Brazzaville,Q3257686,Q3844,http://dbpedia.org/resource/Brazzaville,1
Q19660,Bucharest,Q3257686,Q19660,http://dbpedia.org/resource/Bucharest,1
Q649,Moscow,Q3257686,Q649,http://dbpedia.org/resource/Moscow,1
Q3859,Kigali,Q3257686,Q3859,http://dbpedia.org/resource/Kigali,1
Q41295,Basseterre,Q3257686,Q41295,http://dbpedia.org/resource/Basseterre,1
Q41699,Castries,Q3257686,Q41699,http://dbpedia.org/resource/Castries,1
Q41474,Kingstown,Q3257686,Q41474,http://dbpedia.org/resource/Kingstown,1
Q36260,Apia,Q3257686,Q36260,http://dbpedia.org/resource/Apia,1
Q1848,San Marino,Q3257686,Q1848,http://dbpedia.org/resource/City_of_San_Marino,1
Q3692,Riyadh,Q3257686,Q3692,http://dbpedia.org/resource/Riyadh,1
Q3718,Dakar,Q3257686,Q3718,http://dbpedia.org/resource/Dakar,1
Q3711,Belgrade,Q3257686,Q3711,http://dbpedia.org/resource/Belgrade,1
Q3940,Victoria,Q3257686,Q3940,"http://dbpedia.org/resource/Victoria,_Seychelles",1
Q3780,Freetown,Q3257686,Q3780,http://dbpedia.org/resource/Freetown,1
Q334,Singapore,Q3257686,Q334,http://dbpedia.org/resource/Singapore,1
Q1780,Bratislava,Q3257686,Q1780,http://dbpedia.org/resource/Bratislava,1
Q437,Ljubljana,Q3257686,Q437,http://dbpedia.org/resource/Ljubljana,1
Q40921,Honiara,Q3257686,Q40921,http://dbpedia.org/resource/Honiara,1
Q2449,Mogadishu,Q3257686,Q2449,http://dbpedia.org/resource/Mogadishu,1
Q3926,Pretoria,Q3257686,Q3926,http://dbpedia.org/resource/Pretoria,1
Q5465,Cape Town,Q3257686,Q5465,http://dbpedia.org/resource/Cape_Town,1
Q37701,Bloemfontein,Q3257686,Q37701,http://dbpedia.org/resource/Bloemfontein,1
Q8684,Seoul,Q3257686,Q8684,http://dbpedia.org/resource/Seoul,1
Q1947,Juba,Q3257686,Q1947,http://dbpedia.org/resource/Juba,1
Q2807,Madrid,Q3257686,Q2807,http://dbpedia.org/resource/Madrid,1
Q35381,Colombo,Q3257686,Q35381,http://dbpedia.org/resource/Colombo,1
Q41963,Sri Jayawardenepura Kotte,Q3257686,Q41963,http://dbpedia.org/resource/Sri_Jayawardenepura_Kotte,1
Q1963,Khartoum,Q3257686,Q1963,http://dbpedia.org/resource/Khartoum,1
Q3001,Paramaribo,Q3257686,Q3001,http://dbpedia.org/resource/Paramaribo,1
Q1754,Stockholm,Q3257686,Q1754,http://dbpedia.org/resource/Stockholm,1
Q70,Bern,Q3257686,Q70,http://dbpedia.org/resource/Bern,1
Q3766,Damascus,Q3257686,Q3766,http://dbpedia.org/resource/Damascus,1
Q3932,São Tomé,Q3257686,Q3932,http://dbpedia.org/resource/São_Tomé,1
Q9365,Dushanbe,Q3257686,Q9365,http://dbpedia.org/resource/Dushanbe,1
Q3866,Dodoma,Q3257686,Q3866,http://dbpedia.org/resource/Dodoma,1
Q1861,Bangkok,Q3257686,Q1861,http://dbpedia.org/resource/Bangkok,1
Q3792,Lomé,Q3257686,Q3792,http://dbpedia.org/resource/Lomé,1
Q38834,Nuku'alofa,Q3257686,Q38834,http://dbpedia.org/resource/Nukuʻalofa,1
Q39178,Port of Spain,Q3257686,Q39178,http://dbpedia.org/resource/Port_of_Spain,1
Q3572,Tunis,Q3257686,Q3572,http://dbpedia.org/resource/Tunis,1
Q3640,Ankara,Q3257686,Q3640,http://dbpedia.org/resource/Ankara,1
Q23438,Ashgabat,Q3257686,Q23438,http://dbpedia.org/resource/Ashgabat,1
Q34126,Funafuti,Q3257686,Q34126,http://dbpedia.org/resource/Funafuti,1
Q3894,Kampala,Q3257686,Q3894,http://dbpedia.org/resource/Kampala,1
Q1899,Kyiv,Q3257686,Q1899,http://dbpedia.org/resource/Kiev,1
Q1519,Abu Dhabi,Q3257686,Q1519,http://dbpedia.org/resource/Abu_Dhabi,1
Q84,London,Q3257686,Q84,http://dbpedia.org/resource/London,1
Q61,"Washington, D.C.",Q3257686,Q61,"http://dbpedia.org/resource/Washington,_D.C.",1
Q1335,Montevideo,Q3257686,Q1335,http://dbpedia.org/resource/Montevideo,1
Q269,Tashkent,Q3257686,Q269,http://dbpedia.org/resource/Tashkent,1
Q37806,Port Vila,Q3257686,Q37806,http://dbpedia.org/resource/Port_Vila,1
Q1533,Caracas,Q3257686,Q1533,http://dbpedia.org/resource/Caracas,1
Q1858,Hanoi,Q3257686,Q1858,http://dbpedia.org/resource/Hanoi,1
Q2471,Sana'a,Q3257686,Q2471,http://dbpedia.org/resource/Sanaʽa,1
Q131694,Aden,Q3257686,Q131694,http://dbpedia.org/resource/Aden,1
Q3881,Lusaka,Q3257686,Q3881,http://dbpedia.org/resource/Lusaka,1
Q3921,Harare,Q3257686,Q3921,http://dbpedia.org/resource/Harare,1
